id,exchange,ts_code,symbol,freq,trade_time,open,close,high,low,vol,is_contract
1859,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:31:00,0.28,0.282405,0.28287,0.28,4384.0,Y
1860,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:30:00,0.28059,0.28,0.282244,0.28,6096216.715434,N
1861,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:30:00,0.280675,0.28,0.282374,0.28,9258.0,Y
1862,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:29:00,0.282639,0.280508,0.283552,0.28,9285084.13554,N
1863,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:29:00,0.282534,0.280704,0.283637,0.28,14151.0,Y
1864,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:28:00,0.286086,0.282276,0.286086,0.282276,5022.0,Y
1865,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:28:00,0.285906,0.28257,0.285942,0.282456,6145536.031255,N
1866,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:27:00,0.286935,0.286281,0.28749,0.286127,1425.0,Y
1867,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:27:00,0.286674,0.285997,0.287322,0.28582,1633191.177776,N
1868,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:26:00,0.286745,0.28688,0.287254,0.285631,1668.0,Y
1869,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:26:00,0.28658,0.286669,0.286937,0.285529,2271683.344399,N
1870,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:25:00,0.288403,0.286747,0.288481,0.286568,2412.0,Y
1871,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:25:00,0.288135,0.286603,0.288301,0.28632,2415071.849828,N
1872,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:24:00,0.285998,0.28841,0.28851,0.285792,3040.0,Y
1873,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:24:00,0.285642,0.288213,0.288354,0.285468,3304009.427148,N
1874,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:23:00,0.286611,0.285938,0.287109,0.285122,2435.0,Y
1875,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:23:00,0.286282,0.28558,0.286789,0.284964,2329776.857905,N
1876,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:22:00,0.287109,0.286295,0.287403,0.285828,3800552.269245,N
1877,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:22:00,0.28748,0.28666,0.287768,0.286277,4172.0,Y
1878,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:21:00,0.284223,0.287085,0.287346,0.284089,4969280.666805,N
1879,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:21:00,0.284737,0.2875,0.287799,0.284737,7455.0,Y
1880,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:20:00,0.285441,0.284694,0.2855,0.283548,5028.0,Y
1881,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:20:00,0.284995,0.284182,0.284996,0.283002,4634572.294477,N
1882,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:19:00,0.282786,0.28547,0.28547,0.282641,5294.0,Y
1883,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:19:00,0.28219,0.284908,0.284945,0.282049,4629134.872986,N
1884,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:18:00,0.282826,0.282296,0.283798,0.281844,6723908.365828,N
1885,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:18:00,0.283389,0.282948,0.28438,0.2828,4275.0,Y
1886,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:17:00,0.281101,0.283272,0.28346,0.281038,8582.0,Y
1887,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:17:00,0.280594,0.282734,0.282841,0.280589,10632196.862255,N
1888,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:16:00,0.283584,0.280689,0.283724,0.280556,11420011.671708,N
1889,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:16:00,0.283887,0.281016,0.283998,0.281,13481.0,Y
1890,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:15:00,0.285898,0.283585,0.287251,0.283378,6771577.33915,N
1891,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 03:15:00,0.286085,0.283864,0.287709,0.283522,8095.0,Y
1892,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 03:14:00,0.285324,0.285748,0.286484,0.284001,6343451.182018,N
